student_id,age,gender,academic_level,country,avg_use,platform_use,affects,sleep_time,mental_score,marital_status,conflicts,addicted_score
1,19,female,undergraduate,bangladesh,5.2,instagram,yes,6.5,6,in relationship,3,8
2,22,male,graduate,india,2.1,twitter,no,7.5,8,single,0,3
3,20,female,undergraduate,usa,6.0,tiktok,yes,5.0,5,complicated,4,9
4,18,male,high school,uk,3.0,youtube,no,7.0,7,single,1,4
5,21,male,graduate,canada,4.5,facebook,yes,6.0,6,in relationship,2,7
6,19,female,undergraduate,australia,7.2,instagram,yes,4.5,4,complicated,5,9
7,23,male,graduate,germany,1.5,linkedin,no,8.0,9,single,0,2
8,20,female,undergraduate,brazil,5.8,snapchat,yes,6.0,6,in relationship,2,8
9,18,male,high school,japan,4.0,tiktok,no,6.5,7,single,1,5
10,21,female,graduate,south korea,3.3,instagram,no,7.0,7,in relationship,1,4
11,19,male,undergraduate,france,4.8,snapchat,yes,6.2,5,complicated,3,7
12,20,female,undergraduate,spain,5.5,tiktok,yes,5.8,6,in relationship,2,8
13,22,male,graduate,italy,2.8,linkedin,no,7.2,8,single,1,4
14,18,female,high school,mexico,6.5,instagram,yes,5.5,5,single,4,9
15,21,male,undergraduate,russia,3.7,youtube,no,6.8,7,in relationship,2,5
16,20,female,undergraduate,china,4.2,tiktok,yes,6.0,6,complicated,3,7
17,24,male,graduate,sweden,2.0,linkedin,no,7.8,8,single,0,3
18,19,female,high school,norway,5.0,instagram,yes,5.7,5,in relationship,3,8
19,21,male,undergraduate,denmark,3.5,facebook,no,6.7,7,single,1,5
20,20,female,undergraduate,netherlands,4.7,snapchat,yes,5.9,6,complicated,3,7
21,18,male,high school,belgium,5.3,tiktok,yes,5.5,5,single,4,8
22,23,female,graduate,switzerland,2.5,linkedin,no,7.3,8,in relationship,1,4
23,19,male,undergraduate,austria,4.9,instagram,yes,5.8,6,complicated,3,7
24,20,female,undergraduate,portugal,5.7,tiktok,yes,5.4,5,single,4,8
25,22,male,graduate,greece,3.2,facebook,no,6.9,7,in relationship,2,5
26,19,female,high school,ireland,6.1,instagram,yes,5.2,5,complicated,4,9
27,21,male,undergraduate,new zealand,3.8,youtube,no,6.6,7,single,1,5
28,20,female,undergraduate,singapore,4.4,tiktok,yes,5.9,6,in relationship,3,7
29,24,male,graduate,malaysia,2.2,linkedin,no,7.4,8,single,0,3
30,19,female,high school,thailand,5.9,instagram,yes,5.3,5,complicated,4,8
31,21,male,undergraduate,vietnam,3.6,facebook,no,6.7,7,single,1,5
32,20,female,undergraduate,philippines,4.8,snapchat,yes,5.7,6,in relationship,3,7
33,18,male,high school,indonesia,5.4,tiktok,yes,5.4,5,complicated,4,8
34,23,female,graduate,taiwan,2.6,linkedin,no,7.2,8,single,1,4
35,19,male,undergraduate,hong kong,4.7,instagram,yes,5.8,6,in relationship,3,7
36,20,female,undergraduate,turkey,5.6,tiktok,yes,5.5,5,complicated,4,8
